record_id,source,group,test_standard,LL,PL,PI,fines_pct,sand_pct,energy_kJm3,Gs,MDD_Mgm3,OMC_frac
tr_0024,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,57.0,29.0,28.0,94.0,6.0,592.5,2.68,1.600407747196738,0.235
tr_0025,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,54.0,24.0,30.0,94.0,6.0,592.5,2.68,1.6106014271151885,0.212
tr_0026,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,68.0,28.0,40.0,96.0,4.0,592.5,2.68,1.5188583078491336,0.244
tr_0027,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,63.0,37.0,26.0,95.0,5.0,592.5,2.68,1.508664627930683,0.245
tr_0028,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,61.0,34.0,27.0,96.0,4.0,592.5,2.68,1.437308868501529,0.266
tr_0029,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,60.0,34.0,26.0,95.0,5.0,592.5,2.68,1.437308868501529,0.27
tr_0030,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,60.0,34.0,26.0,95.0,5.0,592.5,2.68,1.437308868501529,0.26
tr_0031,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,25.0,17.0,8.0,21.0,18.0,592.5,2.68,1.8960244648318043,0.13
tr_0032,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,60.0,25.0,35.0,90.0,10.0,592.5,2.68,1.4678899082568806,0.244
tr_0033,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,42.0,22.0,20.0,89.0,11.0,592.5,2.68,1.5800203873598369,0.22
tr_0034,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,42.0,21.0,21.0,81.0,19.0,592.5,2.68,1.5800203873598369,0.228
tr_0035,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,24.0,19.0,5.0,50.0,29.0,592.5,2.68,1.8654434250764529,0.128
tr_0036,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,34.0,28.0,6.0,20.0,17.0,592.5,2.68,1.957186544342508,0.1119999999999999
tr_0037,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,32.0,19.0,13.0,38.0,26.0,592.5,2.68,1.8144750254842,0.145
tr_0038,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,37.0,26.0,11.0,93.0,7.0,592.5,2.68,1.620795107033639,0.204
tr_0039,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,56.0,25.0,31.0,96.0,4.0,592.5,2.68,1.620795107033639,0.23
tr_0040,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,55.0,23.0,32.0,95.0,5.0,592.5,2.68,1.5800203873598369,0.216
tr_0041,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,67.0,29.0,38.0,97.0,3.0,592.5,2.68,1.4984709480122322,0.242
tr_0042,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,61.0,37.0,24.0,97.0,3.0,592.5,2.68,1.5188583078491336,0.242
tr_0043,zenodo:10.5281/zenodo.20737270,Turkiye geotechnical/CBR dataset,SP,42.0,26.0,16.0,75.0,25.0,592.5,2.68,1.4475025484199795,0.285
